ts,date,module,ticker,kind,market,price,meta
2026-06-15T10:03:41+00:00,2026-06-15,stocks,HTRO.ST,buy,SE,42.6100,{}
2026-06-15T10:03:41+00:00,2026-06-15,stocks,SINCH.ST,buy,SE,38.3700,{}
2026-06-15T10:03:42+00:00,2026-06-15,stocks,TOBII.ST,buy,SE,2.3560,{}
2026-06-15T10:03:42+00:00,2026-06-15,stocks,ABB.ST,buy,SE,986.4000,{}
2026-06-15T10:03:42+00:00,2026-06-15,stocks,MYCR.ST,buy,SE,316.0000,{}
2026-06-15T10:03:42+00:00,2026-06-15,stocks,INSTAL.ST,buy,SE,41.2400,{}
2026-06-15T10:03:42+00:00,2026-06-15,stocks,SSAB-A.ST,buy,SE,102.0500,{}
2026-06-15T10:03:43+00:00,2026-06-15,stocks,SAND.ST,buy,SE,391.0000,{}
2026-06-15T10:03:43+00:00,2026-06-15,stocks,BOL.ST,buy,SE,565.0000,{}
2026-06-15T10:03:43+00:00,2026-06-15,stocks,ERIC-B.ST,buy,SE,117.0000,{}
2026-06-15T10:03:59+00:00,2026-06-15,stocks,AMD,buy,US,511.5700,{}
2026-06-15T10:03:59+00:00,2026-06-15,stocks,CAT,buy,US,910.5700,{}
2026-06-15T10:03:59+00:00,2026-06-15,stocks,CSCO,buy,US,121.1000,{}
2026-06-15T10:03:59+00:00,2026-06-15,stocks,QCOM,buy,US,211.7200,{}
2026-06-15T10:03:59+00:00,2026-06-15,stocks,TXN,buy,US,301.1200,{}
2026-06-15T10:04:00+00:00,2026-06-15,stocks,GOOGL,buy,US,359.6800,{}
2026-06-15T10:04:00+00:00,2026-06-15,stocks,AVGO,buy,US,382.0700,{}
2026-06-15T10:04:00+00:00,2026-06-15,stocks,GS,buy,US,1062.7500,{}
2026-06-15T10:04:00+00:00,2026-06-15,stocks,MS,buy,US,214.0400,{}
2026-06-15T10:04:00+00:00,2026-06-15,stocks,ORCL,buy,US,184.1300,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,NOKIA-SEK.ST,buy,SE,133.7500,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,MORROW.ST,buy,SE,11.7400,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,VPLAY-B.ST,buy,SE,1.3010,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,HTRO.ST,buy,SE,41.6000,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,ACAST.ST,buy,SE,40.2500,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,ORRON.ST,buy,SE,7.5200,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,OVZON.ST,buy,SE,46.0800,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,SALT-B.ST,buy,SE,7.4900,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,NCAB.ST,buy,SE,80.1000,{}
2026-06-18T10:42:54+00:00,2026-06-18,stocks,HOFI.ST,buy,SE,161.9000,{}
2026-06-19T12:36:59+00:00,2026-06-19,breakout,CAT,breakout,US,985.8200,"{""rvol"": 2.2, ""run_up"": 0.418}"
2026-06-26T08:43:28+00:00,2026-06-26,breakout,WST,breakout,US,346.5600,"{""rvol"": 2.1, ""run_up"": 0.412}"
2026-06-27T08:08:49+00:00,2026-06-27,breakout,DVA,breakout,US,217.0400,"{""rvol"": 2.1, ""run_up"": 0.425}"
2026-06-27T08:08:50+00:00,2026-06-27,breakout,LLY,breakout,US,1208.1200,"{""rvol"": 2.4, ""run_up"": 0.367}"
2026-06-27T08:08:50+00:00,2026-06-27,breakout,MOH,breakout,US,229.7400,"{""rvol"": 2.6, ""run_up"": 0.473}"
2026-07-01T10:53:27+00:00,2026-07-01,breakout,CINT.ST,breakout,SE,5.9700,"{""rvol"": 2.3, ""run_up"": 0.684}"
2026-07-01T13:03:26+00:00,2026-07-01,stocks,CHEF.ST,buy,SE,123.4000,{}
2026-07-01T13:03:26+00:00,2026-07-01,stocks,ACAST.ST,buy,SE,39.9500,{}
2026-07-01T13:03:48+00:00,2026-07-01,stocks,VESTUM.ST,buy,SE,15.9800,{}
2026-07-01T13:03:48+00:00,2026-07-01,stocks,ABB.ST,buy,SE,1035.0000,{}
2026-07-01T13:03:48+00:00,2026-07-01,stocks,BOOZT.ST,buy,SE,146.6000,{}
2026-07-01T13:04:00+00:00,2026-07-01,stocks,UNH,buy,US,415.6300,{}
2026-07-03T07:01:10+00:00,2026-07-03,scanner,SIVE.ST,big_move,SE,53.9000,"{""pct"": 10.0}"
2026-07-03T07:15:44+00:00,2026-07-03,scanner,SIVE.ST,volume_spike,SE,54.7500,"{""rvol"": 5.1, ""pct"": 11.7}"
2026-07-03T08:15:44+00:00,2026-07-03,scanner,EPIS-B.ST,big_move,SE,0.0900,"{""pct"": 6.5}"
2026-07-06T07:01:23+00:00,2026-07-06,scanner,SIVE.ST,big_move,SE,50.0000,"{""pct"": -11.2}"
2026-07-06T07:15:39+00:00,2026-07-06,scanner,SIVE.ST,volume_spike,SE,45.5200,"{""rvol"": 5.2, ""pct"": -19.1}"
2026-07-06T07:31:11+00:00,2026-07-06,scanner,ABB.ST,volume_spike,SE,1018.0000,"{""rvol"": 3.2, ""pct"": -3.0}"
2026-07-06T13:01:24+00:00,2026-07-06,scanner,SPRINT.ST,big_move,SE,3.8200,"{""pct"": -6.1}"
2026-07-06T13:46:29+00:00,2026-07-06,scanner,AMD,big_move,US,556.6500,"{""pct"": 7.5}"
2026-07-06T14:17:24+00:00,2026-07-06,scanner,QCOM,big_move,US,187.2900,"{""pct"": 6.3}"
2026-07-06T14:45:55+00:00,2026-07-06,scanner,EPIS-B.ST,big_move,SE,0.0671,"{""pct"": -6.8}"
2026-07-07T07:01:28+00:00,2026-07-07,scanner,SPRINT.ST,big_move,SE,3.5500,"{""pct"": -12.8}"
2026-07-07T07:01:29+00:00,2026-07-07,scanner,NCAB.ST,big_move,SE,75.8000,"{""pct"": -7.6}"
2026-07-07T07:01:30+00:00,2026-07-07,scanner,SIVE.ST,big_move,SE,44.1000,"{""pct"": -21.7}"
2026-07-07T07:15:46+00:00,2026-07-07,scanner,SPRINT.ST,volume_spike,SE,3.8000,"{""rvol"": 6.7, ""pct"": -6.6}"
2026-07-07T07:15:47+00:00,2026-07-07,scanner,EPIS-B.ST,big_move,SE,0.0671,"{""pct"": -6.8}"
2026-07-07T07:15:49+00:00,2026-07-07,scanner,SIVE.ST,volume_spike,SE,45.5000,"{""rvol"": 3.1, ""pct"": -19.2}"
2026-07-07T13:31:22+00:00,2026-07-07,scanner,AMD,big_move,US,517.5278,"{""pct"": -6.3}"
2026-07-07T14:45:48+00:00,2026-07-07,scanner,NOKIA-SEK.ST,big_move,SE,114.3500,"{""pct"": -6.2}"
2026-07-07T15:45:45+00:00,2026-07-07,scanner,CAT,big_move,US,911.1850,"{""pct"": -6.1}"
2026-07-08T07:01:25+00:00,2026-07-08,scanner,EPIS-B.ST,big_move,SE,0.0730,"{""pct"": 7.4}"
2026-07-08T07:01:25+00:00,2026-07-08,scanner,SIVE.ST,big_move,SE,40.2800,"{""pct"": -13.7}"
2026-07-08T07:01:26+00:00,2026-07-08,scanner,CHEF.ST,big_move,SE,130.0000,"{""pct"": 6.9}"
2026-07-08T07:01:27+00:00,2026-07-08,scanner,NOKIA-SEK.ST,big_move,SE,113.6000,"{""pct"": -6.8}"
2026-07-08T07:15:41+00:00,2026-07-08,scanner,HTRO.ST,big_move,SE,34.1400,"{""pct"": -7.5}"
2026-07-08T07:15:43+00:00,2026-07-08,scanner,EPIS-B.ST,volume_spike,SE,0.0710,"{""rvol"": 5.8, ""pct"": 4.4}"
2026-07-08T07:43:10+00:00,2026-07-08,scanner,NCAB.ST,big_move,SE,72.5000,"{""pct"": -6.3}"
2026-07-08T16:31:24+00:00,2026-07-08,scanner,AVGO,big_move,US,393.8300,"{""pct"": 6.2}"
2026-07-09T07:02:44+00:00,2026-07-09,scanner,SIVE.ST,big_move,SE,45.0800,"{""pct"": 9.3}"
2026-07-09T07:02:45+00:00,2026-07-09,scanner,CHEF.ST,big_move,SE,128.0000,"{""pct"": 6.1}"
2026-07-09T07:15:59+00:00,2026-07-09,scanner,SIVE.ST,volume_spike,SE,42.3200,"{""rvol"": 4.2, ""pct"": 2.6}"
2026-07-09T07:16:00+00:00,2026-07-09,scanner,SPRINT.ST,volume_spike,SE,3.8000,"{""rvol"": 5.1, ""pct"": -2.1}"
2026-07-09T07:36:24+00:00,2026-07-09,scanner,ABB.ST,volume_spike,SE,1016.0000,"{""rvol"": 3.2, ""pct"": 1.6}"
2026-07-09T13:45:48+00:00,2026-07-09,scanner,NOKIA-SEK.ST,big_move,SE,121.8000,"{""pct"": 7.2}"
2026-07-09T13:45:50+00:00,2026-07-09,scanner,AMD,big_move,US,549.8000,"{""pct"": 6.3}"
2026-07-09T14:31:16+00:00,2026-07-09,scanner,ERIC-B.ST,big_move,SE,111.7500,"{""pct"": 6.1}"
2026-07-09T14:31:20+00:00,2026-07-09,scanner,MORROW.ST,big_move,SE,13.5000,"{""pct"": 6.6}"
2026-07-10T07:01:14+00:00,2026-07-10,scanner,ERIC-B.ST,big_move,SE,112.2500,"{""pct"": 6.6}"
2026-07-10T07:01:15+00:00,2026-07-10,scanner,NOKIA-SEK.ST,big_move,SE,123.5000,"{""pct"": 8.7}"
2026-07-10T07:15:42+00:00,2026-07-10,scanner,SIVE.ST,volume_spike,SE,47.7200,"{""rvol"": 5.5, ""pct"": 21.2}"
2026-07-10T07:31:22+00:00,2026-07-10,scanner,MORROW.ST,big_move,SE,13.4400,"{""pct"": 6.2}"
2026-07-10T08:15:48+00:00,2026-07-10,scanner,EPIS-B.ST,big_move,SE,0.0685,"{""pct"": 7.9}"
2026-07-10T21:44:21+00:00,2026-07-10,pead,BULTEN.ST,entry,SE,51.3000,"{""surprise"": null, ""reaction"": 17.127091263441507}"
2026-07-10T21:44:22+00:00,2026-07-10,pead,CARA.ST,entry,SE,24.4000,"{""surprise"": null, ""reaction"": 7.523350611671942}"
